"time","from","to","type","time_scaled"
0,7,204,1,0
0,21,199,1,0
0,22,156,1,0
0,22,378,1,0
0,47,87,1,0
0,49,547,1,0
0,64,507,1,0
0,75,311,1,0
0,81,177,1,0
0,96,395,1,0
0,108,118,1,0
0,115,612,1,0
0,131,177,1,0
0,131,398,1,0
0,132,397,1,0
0,84,140,1,0
0,156,378,1,0
0,161,462,1,0
0,174,383,1,0
0,177,398,1,0
0,183,382,1,0
0,194,553,1,0
0,230,455,1,0
0,235,295,1,0
0,261,487,1,0
0,336,343,1,0
0,340,491,1,0
0,379,557,1,0
0,386,420,1,0
0,406,417,1,0
0,449,600,1,0
0,502,534,1,0
0,5,504,1,0
0,322,555,1,0
0,656,657,1,0
0,570,662,1,0
300,94,610,1,300
300,369,559,1,300
300,130,637,1,300
300,220,640,1,300
300,8,649,1,300
600,88,89,1,600
600,131,398,0,600
600,183,382,0,600
600,198,379,1,600
900,124,601,1,900
900,504,521,1,900
1200,81,177,0,1200
1200,131,376,1,1200
1200,146,290,1,1200
1200,379,557,0,1200
1500,131,376,0,1500
1500,132,397,0,1500
1500,177,290,1,1500
1500,290,376,1,1500
1500,575,657,1,1500
1800,75,311,0,1800
1800,146,177,1,1800
1800,290,376,0,1800
2100,124,601,0,2100
2100,131,290,1,2100
2100,131,398,1,2100
2100,146,398,1,2100
2400,406,417,0,2400
2400,575,656,1,2400
2700,214,294,1,2700
2700,369,559,0,2700
3000,94,610,0,3000
3000,146,398,0,3000
3000,152,534,1,3000
3000,181,376,1,3000
3000,290,398,1,3000
3000,130,637,0,3000
3300,575,656,0,3300
3300,575,657,0,3300
3600,131,290,0,3600
3600,177,398,0,3600
3600,290,398,0,3600
3600,602,657,1,3600
3900,146,177,0,3900
3900,177,290,0,3900
3900,181,376,0,3900
3900,214,294,0,3900
3900,298,435,1,3900
3900,449,600,0,3900
4200,131,177,0,4200
4200,602,657,0,4200
4500,97,130,1,4500
4500,124,601,1,4500
4500,124,610,1,4500
4500,198,379,0,4500
4500,198,557,1,4500
